requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id,alpha,ensemble_forecast,interval_correction,corrected_q0.1_lower,corrected_q0.5_median,corrected_q0.9_upper,evaluation_role
2026-02-01,2026-01-30,1427.0,18,2026-03-03,1435.4,1387.9720458984375,1436.4764404296875,1476.118896484375,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1431.7382202148438,3.008544921875,1384.9635009765625,1436.4764404296875,1479.12744140625,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,19,2026-03-04,1464.5,1387.00634765625,1436.77734375,1475.7769775390625,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1431.888671875,3.008544921875,1383.997802734375,1436.77734375,1478.7855224609375,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,20,2026-03-05,1478.8,1386.4495849609375,1436.4442138671875,1477.524658203125,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1431.7221069335938,3.008544921875,1383.4410400390625,1436.4442138671875,1480.533203125,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,1,2026-03-03,1435.4,1415.4542236328125,1424.882080078125,1434.2655029296875,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1424.6910400390625,3.008544921875,1412.4456787109375,1424.882080078125,1437.2740478515625,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,2,2026-03-04,1464.5,1412.2542724609375,1425.75244140625,1439.625732421875,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.126220703125,3.008544921875,1409.2457275390625,1425.75244140625,1442.63427734375,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,3,2026-03-05,1478.8,1408.85693359375,1426.0576171875,1442.9521484375,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.27880859375,3.008544921875,1405.848388671875,1426.0576171875,1445.960693359375,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,4,2026-03-06,1464.3,1406.5037841796875,1426.1580810546875,1445.9991455078125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.3290405273438,3.008544921875,1403.4952392578125,1426.1580810546875,1449.0076904296875,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,5,2026-03-09,1474.5,1404.1124267578125,1426.26171875,1449.430908203125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.380859375,3.008544921875,1401.1038818359375,1426.26171875,1452.439453125,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,6,2026-03-10,1493.1,1402.119140625,1426.3524169921875,1450.465087890625,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.4262084960938,3.008544921875,1399.110595703125,1426.3524169921875,1453.4736328125,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,7,2026-03-11,1472.8,1400.0791015625,1426.887451171875,1451.6796875,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.6937255859375,3.008544921875,1397.070556640625,1426.887451171875,1454.688232421875,out_of_calibration_2026_small_sample
