forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
2009-07-01,5,2.7616699218750456,9.820000000000118,3.6108885821764223,10.223404520999956,1.4700610522581168,5.227271883155937,1.0,0.0,1.7054926757812474,1.3808349609375228,2.331877929687502,1.0,40.3737060546875,71.8770883719449,64.68017503602373
2009-12-31,5,16.056967773437464,19.69999999999991,18.496948788842573,23.32625130619996,8.404691961228385,10.311562803912434,0.8,0.2,5.651286621093741,8.028483886718732,2.7062304687499994,0.4,24.5125244140625,18.492549373413517,20.703294558409354
2010-07-01,5,3.9965185546875093,5.259999999999991,4.434570079286842,6.225913587578888,2.0308059989228884,2.672836221867513,0.8,0.0,3.047213867187497,1.9982592773437546,5.274141113281251,1.0,83.2135498046875,24.02055979681528,28.77237987796515
2010-12-31,5,8.120166015625045,11.5400000000001,8.491230172544542,13.025897281953478,4.049788627292368,5.755370108077398,0.8,0.2,0.5483388671874991,4.060083007812523,1.8288339843750006,1.0,23.771728515625,29.634609916594673,34.812704347756664
2011-07-01,5,0.5540234375000181,5.099999999999909,0.6563859967596782,5.182856355331405,0.27370409970381526,2.519552087522267,1.0,0.0,1.113671875,0.2770117187500091,1.01811279296875,1.0,21.3178466796875,89.13679534313671,87.33543915249591
2012-01-02,5,4.938437500000009,3.719999999999982,6.389083896152438,4.010486254807498,2.388682137230068,1.7993338076052994,0.6,0.0,1.7272216796875046,2.4692187500000045,0.9558837890624952,1.0,26.8310546875,-32.753696236560025,-59.309457512630516
2012-06-29,5,10.905615234375,11.999999999999954,12.107785438461102,13.386560424545188,5.237911456859498,5.763538886297042,1.0,0.0,2.558430175781268,5.4528076171875,2.0638696289062493,0.2,19.064111328125,9.119873046874647,9.55267780168058
2013-01-02,5,3.960415039062491,7.2599999999999,3.996157251250614,7.279423054061258,1.9011313945988415,3.4850422969948776,1.0,0.0,0.13000097656250093,1.9802075195312454,0.8685927734374989,0.6,9.495947265625,45.44882866305034,45.10337946327875
2013-07-01,5,3.1851123046874816,6.839999999999918,4.4000415504861135,7.554865981604084,1.5150636678984521,3.2535855872881356,1.0,0.0,1.0708486328125038,1.5925561523437408,1.5904331054687462,1.0,26.6128173828125,53.434030633223394,41.75884044534862
2014-01-02,5,7.376127929687527,7.260000000000036,8.232645428226233,8.322379467436035,3.493777084993801,3.438771924625452,0.4,0.0,1.2081840820312346,3.6880639648437636,2.0238837890625243,0.2,12.5300537109375,-1.5995582601582714,1.0782257593626279
