forecast_step,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
11,348,19.88732075307561,20.012931034482754,36.657181757868,38.93819483799139,14.578172720621746,15.30314960120062,0.5344827586206896,0.0028735632183908046,4.478440923581178,9.943660376537805,6.197043288658404,6.873048196259128,0.7442528735632183,56.598649649784484,0.6276456016898034,5.8580349952377295
12,348,20.35005738707795,20.330459770114942,32.77882880095711,33.360180854825515,13.76791397160249,14.280254293932739,0.5373563218390804,0.0,4.539080884209996,10.175028693538975,6.172496941226655,6.9622021729918755,0.6954022988505747,57.48450811978044,-0.0963953456272331,1.74265258452373
13,348,22.03911108258127,21.92816091954023,35.827261384124505,37.28136726070526,15.40013097971991,15.720969253743045,0.5344827586206896,0.0028735632183908046,4.809769101197693,11.019555541290636,6.5898299083490475,7.473051516945792,0.6954022988505747,60.897605282136766,-0.5059711274837227,3.9003555486909125
14,348,23.43763203237249,23.503735632183915,39.95181290969585,43.447675955993454,16.97077691124986,17.568748843035582,0.5488505747126436,0.005747126436781609,5.079717852713047,11.718816016186246,7.160290166043687,7.986274678314326,0.6781609195402298,61.77276821794181,0.2812472061713769,8.046145091485286
15,348,24.735952513245326,24.972126436781608,43.794192480767116,48.398390718472555,18.53395577944082,19.3946546619945,0.5431034482758621,0.0,5.222552490234373,12.367976256622663,7.667930252250586,8.419486333035874,0.7040229885057471,66.03678157411773,0.9457501512102673,9.513122583946005
16,348,26.546676425276132,26.95172413793103,54.666063328681744,59.638930334926805,20.72640903925065,21.83383238788708,0.5172413793103449,0.0,5.4138162406833725,13.273338212638066,8.860724276838628,9.18262624338669,0.6839080459770115,67.05607447130927,1.5028638263807643,8.338290070458829
17,348,27.09256135787087,27.35574712643678,52.01875813874204,55.58017559832129,20.85629649502365,21.718584204233693,0.5316091954022989,0.005747126436781609,5.517942708333333,13.546280678935435,8.784995152265173,9.283072846511315,0.6982758620689655,70.98714227786009,0.9620858364769841,6.407711780757346
18,348,27.07678433122306,26.813505747126438,43.807850776057144,45.02305443919241,19.474956041769413,19.625455457769164,0.5287356321839081,0.0028735632183908046,5.631556613965968,13.53839216561153,8.115223044910648,9.095057274829381,0.7040229885057471,74.13843755612429,-0.981887958178824,2.699069794956942
19,348,27.076039632161457,26.6566091954023,43.35261556266144,44.54404219873067,19.210014828246738,19.214781092043452,0.5459770114942529,0.0028735632183908046,5.480553027624372,13.538019816080729,8.280325296336207,9.099632713347104,0.7126436781609196,77.49298095703125,-1.573457575510016,2.6747160276872712
20,348,27.888048614852732,27.541954022988502,43.63523433644158,44.29956409842364,19.62973790867852,19.646149618100225,0.5431034482758621,0.0,5.807197967178519,13.944024307426366,8.664286881370103,9.471836385324996,0.6695402298850575,78.58420097964934,-1.2566087053059272,1.4996304715461064
