forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
2003-10-01,20,25.202396240234396,16.99500000000004,30.005707176547563,21.894691137351128,17.676353633458568,11.919883614917525,0.2,0.0,4.38285192871094,12.601198120117198,8.137884765625007,8.373978271484381,0.45,38.041680908203126,-48.29300523821322,-37.04558328004679
2003-10-31,20,13.02119140625,9.350000000000023,16.79284092339871,12.95654274874284,9.106034653795847,6.5386815504551,0.25,0.0,3.276997558593751,6.510595703125,1.6881031494140644,3.825232137044272,0.8,40.13151245117187,-39.264079211229614,-29.608964745075234
2003-12-01,20,6.0345361328125025,11.419999999999902,7.2103881477440215,12.641518896081983,4.209910452861392,7.967004640217384,1.0,0.0,1.7260053710937506,3.0172680664062512,2.8228978271484366,2.522057088216146,1.0,45.48903198242188,47.1581774709934,42.96264391157336
2003-12-31,20,11.71479736328124,14.634999999999945,13.817212874658727,16.242336654557995,8.161812931939703,10.196346428776845,1.0,0.0,0.8639597167968758,5.85739868164062,3.214101806640623,3.311820068359373,1.0,40.780615234375,19.953554060257705,14.930879906486355
2004-01-30,20,6.333304443359362,8.304999999999927,7.567911965923158,9.740200203281164,4.404492545525526,5.775706965886276,0.8,0.0,1.5877541503906265,3.166652221679681,1.8397617187499986,2.198056030273435,1.0,34.27515869140625,23.741066305124416,22.30229555883493
2004-02-27,20,7.463198242187536,7.900000000000023,8.231715973396245,10.601745139362704,5.174511857701363,5.477362700184546,0.8,0.0,1.8919846191406235,3.731599121093768,1.856434570312501,2.4933394368489643,1.0,37.48419189453125,5.529136174841585,22.355085269564658
2004-04-01,20,12.043735351562521,8.005000000000006,15.68086077620821,9.589082333570834,8.328415111403341,5.535571898641426,0.45,0.0,2.9268922119140632,6.021867675781261,1.7080968017578186,3.5522855631510475,0.8,34.79610595703125,-50.45265898266723,-63.52827341267478
2004-04-30,20,14.533652343749997,9.764999999999953,16.28601334587207,11.560557945012823,10.013942098813585,6.728256757632283,0.15,0.0,3.377350219726563,7.266826171874999,2.0123037109374997,4.218826700846354,0.65,39.308160400390626,-48.83412538402528,-40.8756690060776
2004-06-01,20,6.228339843750007,4.7900000000000205,6.900288795499404,5.899830506039995,4.276250780391023,3.288716054668651,0.85,0.0,2.318198974609376,3.1141699218750034,1.076635009765624,2.169667968750001,1.0,33.94833984375,-30.027971685803344,-16.95740730916222
2004-07-01,20,13.957083740234385,6.249999999999977,15.730287636142675,7.853279569708435,9.567927192185618,4.2845300683246945,0.25,0.0,2.9793417968750013,6.978541870117192,1.418648925781247,3.79217753092448,0.7,31.4873779296875,-123.31333984375098,-100.30214761253796
