date,value,raw_rate,raw_unit,normalized_rate,normalized_unit,stat_code,item_code,item_name,unit_name,series_code,notes,kr_yield_source_published_at_kst,kr_yield_safe_from_krw_date,kr_yield_availability_rule
2015-01-28,2.004,2.004,연%,2.004,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-28T16:00:00+09:00,2015-01-29,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-29,1.998,1.998,연%,1.998,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-29T16:00:00+09:00,2015-01-30,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-01-30,1.97,1.97,연%,1.97,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-01-30T16:00:00+09:00,2015-01-31,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-02,1.985,1.985,연%,1.985,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-02T16:00:00+09:00,2015-02-03,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-03,1.935,1.935,연%,1.935,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-03T16:00:00+09:00,2015-02-04,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-04,1.961,1.961,연%,1.961,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-04T16:00:00+09:00,2015-02-05,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-05,1.975,1.975,연%,1.975,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-05T16:00:00+09:00,2015-02-06,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-06,1.962,1.962,연%,1.962,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-06T16:00:00+09:00,2015-02-07,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-09,1.977,1.977,연%,1.977,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-09T16:00:00+09:00,2015-02-10,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-10,2.056,2.056,연%,2.056,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-10T16:00:00+09:00,2015-02-11,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-11,2.051,2.051,연%,2.051,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-11T16:00:00+09:00,2015-02-12,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-12,2.075,2.075,연%,2.075,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-12T16:00:00+09:00,2015-02-13,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-13,2.05,2.05,연%,2.05,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-13T16:00:00+09:00,2015-02-14,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-16,2.091,2.091,연%,2.091,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-16T16:00:00+09:00,2015-02-17,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-17,2.054,2.054,연%,2.054,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-17T16:00:00+09:00,2015-02-18,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-23,2.061,2.061,연%,2.061,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-23T16:00:00+09:00,2015-02-24,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-24,2.063,2.063,연%,2.063,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-24T16:00:00+09:00,2015-02-25,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-25,2.037,2.037,연%,2.037,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-25T16:00:00+09:00,2015-02-26,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-26,2.04,2.04,연%,2.04,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-26T16:00:00+09:00,2015-02-27,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-02-27,2.034,2.034,연%,2.034,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-02-27T16:00:00+09:00,2015-02-28,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-02,2.0,2.0,연%,2.0,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-02T16:00:00+09:00,2015-03-03,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-03,1.99,1.99,연%,1.99,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-03T16:00:00+09:00,2015-03-04,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-04,1.98,1.98,연%,1.98,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-04T16:00:00+09:00,2015-03-05,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-05,1.978,1.978,연%,1.978,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-05T16:00:00+09:00,2015-03-06,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-06,1.943,1.943,연%,1.943,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-06T16:00:00+09:00,2015-03-07,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-09,1.924,1.924,연%,1.924,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-09T16:00:00+09:00,2015-03-10,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-10,1.937,1.937,연%,1.937,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-10T16:00:00+09:00,2015-03-11,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-11,1.907,1.907,연%,1.907,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-11T16:00:00+09:00,2015-03-12,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-12,1.896,1.896,연%,1.896,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-12T16:00:00+09:00,2015-03-13,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-13,1.869,1.869,연%,1.869,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-13T16:00:00+09:00,2015-03-14,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-16,1.856,1.856,연%,1.856,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-16T16:00:00+09:00,2015-03-17,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-17,1.872,1.872,연%,1.872,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-17T16:00:00+09:00,2015-03-18,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-18,1.859,1.859,연%,1.859,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-18T16:00:00+09:00,2015-03-19,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-19,1.825,1.825,연%,1.825,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-19T16:00:00+09:00,2015-03-20,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-20,1.797,1.797,연%,1.797,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-20T16:00:00+09:00,2015-03-21,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-23,1.793,1.793,연%,1.793,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-23T16:00:00+09:00,2015-03-24,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-24,1.795,1.795,연%,1.795,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-24T16:00:00+09:00,2015-03-25,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-25,1.785,1.785,연%,1.785,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-25T16:00:00+09:00,2015-03-26,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-26,1.779,1.779,연%,1.779,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-26T16:00:00+09:00,2015-03-27,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-27,1.77,1.77,연%,1.77,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-27T16:00:00+09:00,2015-03-28,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-30,1.748,1.748,연%,1.748,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-30T16:00:00+09:00,2015-03-31,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-03-31,1.721,1.721,연%,1.721,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-03-31T16:00:00+09:00,2015-04-01,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-01,1.72,1.72,연%,1.72,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-01T16:00:00+09:00,2015-04-02,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-02,1.721,1.721,연%,1.721,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-02T16:00:00+09:00,2015-04-03,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-03,1.714,1.714,연%,1.714,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-03T16:00:00+09:00,2015-04-04,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-06,1.714,1.714,연%,1.714,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-06T16:00:00+09:00,2015-04-07,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-07,1.721,1.721,연%,1.721,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-07T16:00:00+09:00,2015-04-08,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-08,1.727,1.727,연%,1.727,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-08T16:00:00+09:00,2015-04-09,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-09,1.698,1.698,연%,1.698,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-09T16:00:00+09:00,2015-04-10,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-10,1.714,1.714,연%,1.714,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-10T16:00:00+09:00,2015-04-11,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-13,1.732,1.732,연%,1.732,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-13T16:00:00+09:00,2015-04-14,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
