requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id,interval_correction,corrected_q0.1_lower,corrected_q0.5_median,corrected_q0.9_upper,evaluation_role,year,lead_segment
2020-04-01,2020-04-01,1220.0,13,2020-04-21,1218.7,1192.62890625,1220.9801025390625,1267.4705810546875,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1189.620361328125,1220.9801025390625,1270.4791259765625,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,14,2020-04-22,1231.3,1190.4410400390625,1221.4483642578125,1267.6094970703125,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1187.4324951171875,1221.4483642578125,1270.6180419921875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,15,2020-04-23,1235.2,1189.1611328125,1221.2747802734375,1267.2349853515625,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1186.152587890625,1221.2747802734375,1270.2435302734375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,16,2020-04-24,1232.0,1186.2940673828125,1220.6953125,1270.1451416015625,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1183.2855224609375,1220.6953125,1273.1536865234375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,17,2020-04-27,1235.8,1188.902587890625,1222.838134765625,1273.3486328125,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1185.89404296875,1222.838134765625,1276.357177734375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,18,2020-04-28,1230.3,1187.287353515625,1221.96435546875,1272.3916015625,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1184.27880859375,1221.96435546875,1275.400146484375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,19,2020-04-29,1225.2,1186.565673828125,1222.2059326171875,1273.3236083984375,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1183.55712890625,1222.2059326171875,1276.3321533203125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,20,2020-05-04,1218.5,1187.334716796875,1222.1461181640625,1276.361083984375,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1184.326171875,1222.1461181640625,1279.36962890625,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,1,2020-05-04,1218.5,1214.9849853515625,1224.2904052734375,1234.12890625,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1211.9764404296875,1224.2904052734375,1237.137451171875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-05-01,2020-04-29,1225.2,2,2020-05-06,1227.8,1212.384765625,1224.0994873046875,1236.392333984375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1209.376220703125,1224.0994873046875,1239.40087890625,internal_evaluation_2020_2021,2020,D+1~D+5
2020-05-01,2020-04-29,1225.2,3,2020-05-07,1223.3,1209.0992431640625,1223.8067626953125,1238.6304931640625,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1206.0906982421875,1223.8067626953125,1241.6390380859375,internal_evaluation_2020_2021,2020,D+1~D+5
2020-05-01,2020-04-29,1225.2,4,2020-05-08,1226.5,1208.9066162109375,1223.85107421875,1240.5433349609375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1205.8980712890625,1223.85107421875,1243.5518798828125,internal_evaluation_2020_2021,2020,D+1~D+5
2020-05-01,2020-04-29,1225.2,5,2020-05-11,1217.7,1206.95947265625,1223.92529296875,1242.4815673828125,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1203.950927734375,1223.92529296875,1245.4901123046875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-05-01,2020-04-29,1225.2,6,2020-05-12,1217.8,1205.292724609375,1223.2789306640625,1243.4097900390625,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1202.2841796875,1223.2789306640625,1246.4183349609375,internal_evaluation_2020_2021,2020,D+6~D+10
2020-05-01,2020-04-29,1225.2,7,2020-05-13,1226.7,1204.7237548828125,1223.8717041015625,1245.1688232421875,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1201.7152099609375,1223.8717041015625,1248.1773681640625,internal_evaluation_2020_2021,2020,D+6~D+10
2020-05-01,2020-04-29,1225.2,8,2020-05-14,1226.3,1203.80712890625,1224.1351318359375,1246.800048828125,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1200.798583984375,1224.1351318359375,1249.80859375,internal_evaluation_2020_2021,2020,D+6~D+10
2020-05-01,2020-04-29,1225.2,9,2020-05-15,1227.9,1202.4439697265625,1224.5618896484375,1248.61474609375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1199.4354248046875,1224.5618896484375,1251.623291015625,internal_evaluation_2020_2021,2020,D+6~D+10
2020-05-01,2020-04-29,1225.2,10,2020-05-18,1229.3,1202.0301513671875,1224.63134765625,1249.157958984375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1199.0216064453125,1224.63134765625,1252.16650390625,internal_evaluation_2020_2021,2020,D+6~D+10
2020-05-01,2020-04-29,1225.2,11,2020-05-19,1231.6,1200.1923828125,1224.568115234375,1250.596923828125,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1197.183837890625,1224.568115234375,1253.60546875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,12,2020-05-20,1224.5,1200.1748046875,1224.4425048828125,1251.26025390625,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1197.166259765625,1224.4425048828125,1254.268798828125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,13,2020-05-21,1227.8,1199.4503173828125,1224.071533203125,1252.1875,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1196.4417724609375,1224.071533203125,1255.196044921875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,14,2020-05-22,1230.7,1196.6602783203125,1224.375244140625,1251.3519287109375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1193.6517333984375,1224.375244140625,1254.3604736328125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,15,2020-05-25,1236.2,1196.680419921875,1224.6087646484375,1253.212890625,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1193.671875,1224.6087646484375,1256.221435546875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,16,2020-05-26,1242.0,1194.448974609375,1223.50048828125,1254.281005859375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1191.4404296875,1223.50048828125,1257.28955078125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,17,2020-05-27,1237.1,1197.5399169921875,1225.6783447265625,1257.8819580078125,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1194.5313720703125,1225.6783447265625,1260.8905029296875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,18,2020-05-28,1233.7,1196.041259765625,1224.9019775390625,1258.4691162109375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1193.03271484375,1224.9019775390625,1261.4776611328125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,19,2020-05-29,1239.4,1195.7164306640625,1224.7611083984375,1259.8360595703125,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1192.7078857421875,1224.7611083984375,1262.8446044921875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-05-01,2020-04-29,1225.2,20,2020-06-01,1237.6,1194.5875244140625,1224.555419921875,1261.3704833984375,1225.2,13867,756,2.3411704889658154,amazon/chronos-2,3.008544921875,1191.5789794921875,1224.555419921875,1264.3790283203125,internal_evaluation_2020_2021,2020,D+11~D+20
